sort_number,site,Genus_species,Family,growthform,height,Country,Site,lat,long,entered.by,alt,temp,isotherm,rain,LAI,NPP,hemisphere
18392,165,Linanthus_sp,Polemoniaceae,Herb,0.11,USA,Jasper Ridge - Serpentine,37.4,-122.224,Angela,179,13.7,5.5,630,1.51,223,1
32694,134,Piranhea_sp,Picrodendraceae,Tree,12.5,Mexico,Chamela,19.5,-105.043,Angela,357,26.2,7.2,790,4.07,855,1
9244,28,Crassula_rupestris,Crassulaceae,Shrub,0.6,South Africa,Stellenbosch - Karoo,33.609,19.457,Angela,394,16.5,5.4,546,1.51,557,-1
24129,215,Potentilla_nivea,Rosaceae,Herb,0.05,Greenland,Kangerlussuaq - dry,66.973,-50.568,Angela,75,-5.1,2.3,257,1.29,65,1
7054,132,Cecropia_obtusifolia,Urticaceae,Tree,30,NA,NA,18.583,-95.117,Angela,550,22.7,5.7,2726,4.14,991,1
4583,111,Berlinia_grandiflora,Fabaceae - C,Tree,35,Republic of Congo,Congo - bai,2.16,16.153,Angela,403,24.8,8,1649,4.26,1648,1
10189,85,Decaspermum_cryptanthum,Myrtaceae,Shrub,3,Fiji,b,16.583,179.242,Laura,611,22.5,6.4,2865,4.5,1800,-1
8927,218,Cornus_sp,Cornaceae,Herb,0.2,Norway,Norway,68.606,17.606,Angela,44,1.2,2.6,788,1.51,121,1
31945,3,Viola_magellanica,Violaceae,Herb,0.05,Argentina,Rio Turbio - Nothofagus,51.578,-72.315,Angela,702,3.7,4.9,500,1.26,30,-1
3876,142,Astragalus_cruciatus,Fabaceae - P,Herb,0.0322,NA,NA,31.5,35.1,Angela,860,16.8,4.5,420,1.26,305,1
13286,87,Gardenia_actinocarpa,Rubiaceae,Shrub/Tree,3.5,Australia,Queensland,16.1,145.367,Angela,840,21.2,5.9,1741,4.04,908,-1
3943,80,Astronidium_parviflorum,Melastomataceae,Shrub/Tree,12,Fiji,abot,17.231,178.998,Laura,2,25.4,6.5,2494,4.26,1886,-1
